IDDIST;NOMBDEP;NOMBPROV;NOMBDIST;NOM_CAPITAL (LEGAL);COD_ REG_NAT;REGION NATURAL
010101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;CHACHAPOYAS;2;SIERRA
010102;AMAZONAS;CHACHAPOYAS;ASUNCION;ASUNCION;2;SIERRA
010103;AMAZONAS;CHACHAPOYAS;BALSAS;BALSAS;3;SELVA ALTA
010104;AMAZONAS;CHACHAPOYAS;CHETO;CHETO;2;SIERRA
010105;AMAZONAS;CHACHAPOYAS;CHILIQUIN;CHILIQUIN;2;SIERRA
010106;AMAZONAS;CHACHAPOYAS;CHUQUIBAMBA;CHUQUIBAMBA;2;SIERRA
010107;AMAZONAS;CHACHAPOYAS;GRANADA;GRANADA;2;SIERRA
010108;AMAZONAS;CHACHAPOYAS;HUANCAS;HUANCAS;2;SIERRA
010109;AMAZONAS;CHACHAPOYAS;LA JALCA;LA JALCA;2;SIERRA
010110;AMAZONAS;CHACHAPOYAS;LEIMEBAMBA;LEIMEBAMBA;2;SIERRA
010111;AMAZONAS;CHACHAPOYAS;LEVANTO;LEVANTO;2;SIERRA
010112;AMAZONAS;CHACHAPOYAS;MAGDALENA;MAGDALENA;3;SELVA ALTA
010113;AMAZONAS;CHACHAPOYAS;MARISCAL CASTILLA;DURAZNOPAMPA;2;SIERRA
010114;AMAZONAS;CHACHAPOYAS;MOLINOPAMPA;MOLINOPAMPA;2;SIERRA
010115;AMAZONAS;CHACHAPOYAS;MONTEVIDEO;MONTEVIDEO;2;SIERRA
010116;AMAZONAS;CHACHAPOYAS;OLLEROS;OLLEROS;2;SIERRA
010117;AMAZONAS;CHACHAPOYAS;QUINJALCA;QUINJALCA;2;SIERRA
010118;AMAZONAS;CHACHAPOYAS;SAN FRANCISCO DE DAGUAS;DAGUAS;2;SIERRA
010119;AMAZONAS;CHACHAPOYAS;SAN ISIDRO DE MAINO;MAINO;2;SIERRA
010120;AMAZONAS;CHACHAPOYAS;SOLOCO;SOLOCO;2;SIERRA
010121;AMAZONAS;CHACHAPOYAS;SONCHE;SAN JUAN DE SONCHE;2;SIERRA
010201;AMAZONAS;BAGUA;BAGUA;BAGUA;4;SELVA BAJA
010202;AMAZONAS;BAGUA;ARAMANGO;ARAMANGO;3;SELVA ALTA
010203;AMAZONAS;BAGUA;COPALLIN;COPALLIN;3;SELVA ALTA
010204;AMAZONAS;BAGUA;EL PARCO;EL PARCO;3;SELVA ALTA
010205;AMAZONAS;BAGUA;IMAZA;CHIRIACO;4;SELVA BAJA
010206;AMAZONAS;BAGUA;LA PECA;LA PECA;3;SELVA ALTA
010301;AMAZONAS;BONGARA;JUMBILLA;JUMBILLA;2;SIERRA
010302;AMAZONAS;BONGARA;CHISQUILLA;CHISQUILLA;2;SIERRA
010303;AMAZONAS;BONGARA;CHURUJA;CHURUJA;3;SELVA ALTA
010304;AMAZONAS;BONGARA;COROSHA;COROSHA;2;SIERRA
010305;AMAZONAS;BONGARA;CUISPES;CUISPES;3;SELVA ALTA
010306;AMAZONAS;BONGARA;FLORIDA;FLORIDA (POMACOCHAS);2;SIERRA
010307;AMAZONAS;BONGARA;JAZAN;PEDRO RUIZ GALLO;3;SELVA ALTA
010308;AMAZONAS;BONGARA;RECTA;RECTA;2;SIERRA
010309;AMAZONAS;BONGARA;SAN CARLOS;SAN CARLOS;3;SELVA ALTA
010310;AMAZONAS;BONGARA;SHIPASBAMBA;SHIPASBAMBA;3;SELVA ALTA
010311;AMAZONAS;BONGARA;VALERA;VALERA (SAN PABLO);3;SELVA ALTA
010312;AMAZONAS;BONGARA;YAMBRASBAMBA;YAMBRASBAMBA;3;SELVA ALTA
